ig_handle,full_name,website,email,phone,followers,demo_url
samaaltariqcontracting,Sama Al Tariq Building & Contracting,https://samaaltariq.org/,not found,not found,99,https://renderalchemyofficial.github.io/dubai-pitches/demo/sama-al-tariq-building-contracting.html
spacehance,Spacehance Interior Decoration,http://www.spacehance.com/,contact@spacehance.com,(+971) 52 847 2789,646,https://renderalchemyofficial.github.io/dubai-pitches/demo/spacehance-interior-decoration.html
refivedesignhouse,ReFive Design House,https://refivedesignhouse.com/,not found,(+971) 54 387 2277,2304,https://renderalchemyofficial.github.io/dubai-pitches/demo/refive-design-house.html
simoeng_official,SimoEng,https://www.simoeng.it/,info@simoeng.it,not found,20137,https://renderalchemyofficial.github.io/dubai-pitches/demo/simoeng.html
we.do.uae,INTERIOR DESIGN AND BUILD DUBAI,https://wedointerior.ae/,john@example.com,(+971) 58 807 5603,288,https://renderalchemyofficial.github.io/dubai-pitches/demo/interior-design-and-build-dubai.html
reflectionglass.uae,عاکس للزجاج والألومنيوم,https://docs.google.com/forms/d/e/1FAIpQLSeA3ynOTd76FWVMEKKnpv3vUmNR-I06FNqQmK7lK90LpNO4kA/viewform?pli=1,not found,(+971) 55 421 6565,15100,https://renderalchemyofficial.github.io/dubai-pitches/demo/.html
goldencastlehtllc,Golden Castle Hardware Trading LLC,https://goldencastlehardware.com/,not found,not found,708,https://renderalchemyofficial.github.io/dubai-pitches/demo/golden-castle-hardware-trading-llc.html
wedo.global,wedo.global,,not found,not found,9,
samaaltariqcontracting,Sama Al Tariq Building & Contracting,https://samaaltariq.org/,not found,not found,99,https://renderalchemyofficial.github.io/dubai-pitches/demo/sama-al-tariq-building-contracting.html
spacehance,Spacehance Interior Decoration,http://www.spacehance.com/,contact@spacehance.com,(+971) 52 847 2789,646,https://renderalchemyofficial.github.io/dubai-pitches/demo/spacehance-interior-decoration.html
xfactorinteriordesigns,X Factor Designs | Interior Design Dubai,https://x-factordesigns.com/,not found,(+971) 54 735 0597,23,https://renderalchemyofficial.github.io/dubai-pitches/demo/x-factor-designs-interior-design-dubai.html
elliotjamesinterior,Elliot James Interiors,http://linktr.ee/elliotjamesinteriors/,not found,not found,19152,https://renderalchemyofficial.github.io/dubai-pitches/demo/elliot-james-interiors.html
reflectionglass.uae,عاکس للزجاج والألومنيوم,https://docs.google.com/forms/d/e/1FAIpQLSeA3ynOTd76FWVMEKKnpv3vUmNR-I06FNqQmK7lK90LpNO4kA/viewform?pli=1,not found,(+971) 55 421 6565,15103,https://renderalchemyofficial.github.io/dubai-pitches/demo/.html
simoeng_official,SimoEng,https://www.simoeng.it/,info@simoeng.it,not found,20137,https://renderalchemyofficial.github.io/dubai-pitches/demo/simoeng.html
we.do.uae,INTERIOR DESIGN AND BUILD DUBAI,https://wedointerior.ae/,john@example.com,(+971) 58 807 5603,288,https://renderalchemyofficial.github.io/dubai-pitches/demo/interior-design-and-build-dubai.html
zabeeldecor,Zabeel Decor,http://www.zabeeldecor.ae/,not found,(+971) 56 580 4804,231,https://renderalchemyofficial.github.io/dubai-pitches/demo/zabeel-decor.html
samra_facilities_,Samra_Facilities,https://samrafm.com/,not found,not found,878,https://renderalchemyofficial.github.io/dubai-pitches/demo/samra-facilities.html
refivedesignhouse,ReFive Design House,https://refivedesignhouse.com/,not found,(+971) 54 387 2277,2304,https://renderalchemyofficial.github.io/dubai-pitches/demo/refive-design-house.html
antonovich.design.dubai,Luxury Architecture • Interiors • Construction,http://api.whatsapp.com/send?phone=971542995555,not found,(+971) 54 299 5555,373359,https://renderalchemyofficial.github.io/dubai-pitches/demo/luxury-architecture-interiors-construction.html
hi_fi_link,hifilink,http://www.hifilinkuae.com/,not found,not found,755,https://renderalchemyofficial.github.io/dubai-pitches/demo/hifilink.html
asnelproperties,Asnel Properties,http://www.asnelproperties.ae/,not found,not found,5,https://renderalchemyofficial.github.io/dubai-pitches/demo/asnel-properties.html
propsenseinfraventure,PropSense Infraventure,https://propsenserealty.com/,admin@propsenserealty.com,(+971) 56 109 1509,56,https://renderalchemyofficial.github.io/dubai-pitches/demo/propsense-infraventure.html
floweret.realtech,Floweret Realtech,http://www.floweretrealtech.com/,info@floweretrealtech.com,not found,31098,https://renderalchemyofficial.github.io/dubai-pitches/demo/floweret-realtech.html
esrealestateuae,E&S Real-Estate,https://www.esrealestate.ae/,info@esrealest.com,(+971) 52 825 2289,733,https://renderalchemyofficial.github.io/dubai-pitches/demo/e-s-real-estate.html
